title,url,area,in_practice_engine
Long Black Veil,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/10208-2/,Beginner course (Modules 1-10),no
Lover's Waltz,https://fiddlehed.com/courses/intermediate-fiddle-lessons/2-3-double-down/lovers-waltz/,Intermediate course (Modules 11-19),no
Magpie – Basic,https://fiddlehed.com/courses/intermediate-fiddle-lessons/look-both-ways-before-you-cross/magpie-basic/,Intermediate course (Modules 11-19),no
Magpie – Variation,https://wp.me/P8OLq8-70P,wp.me shortlink (resolve),no
Mairi's Wedding,https://fiddlehed.com/community/group-lesson-mairis-wedding/,Community / workshop lessons,no
Maison De Glace,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/maison-de-glace/,Beginner course (Modules 1-10),no
Man Of Constant Sorrow,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/man-of-constant-sorrow/,Beginner course (Modules 1-10),no
Margaret's Waltz,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-6-living-in-the-ear-now/margarets-waltz/,Beginner course (Modules 1-10),no
Mary Had A Little Lamb,https://fiddlehed.com/courses/beginner-fiddle-lessons/start-fiddling-now-course-page/mary-had-a-little-lamb-1-1/,Beginner course (Modules 1-10),yes
Mary Had A Little Lamb – Hoedown Variation I,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-2-getting-plucky/mary-had-a-little-lamb-hoedown-i/,Beginner course (Modules 1-10),yes
Mary Had A Little Lamb – Hoedown Variation II,https://fiddlehed.com/courses/irish-fiddle-lessons/mary-had-a-little-lamb-hoedown-variation-ii/,Irish course,no
Mary Had A Little Lamb – Melodic Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/mary-had-a-little-lamb-melodic-variation/,Irish course,no
Midnight On The Water,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/midnight-on-the-water/,Beginner course (Modules 1-10),no
Minuet In G,https://fiddlehed.com/courses/note-reading-for-fiddlers/minuet-in-g/,Note Reading course,no
Miss McCleod's – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/miss-mcleods-basic-lesson/,Irish course,no
Miss McCleod's – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/miss-mccleods-variation/,Irish course,no
Miss Monaghan's Reel – Basic,https://fiddlehed.com/courses/irish-fiddle-lessons/miss-monaghans-reel-basic/,Irish course,no
Miss Monaghan's Reel – Variation,https://fiddlehed.com/courses/irish-fiddle-lessons/miss-monaghans-reel-variation/,Irish course,no
Mouth Of Tobique,https://fiddlehed.com/mouth-of-tobique/,Standalone page,no
O'Keefe's Slide,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-5-how-to-love-your-sound/okeefes-slide/,Beginner course (Modules 1-10),yes
Ode to Joy,https://fiddlehed.com/courses/beginner-fiddle-lessons/1-2-getting-plucky/ode-to-joy/,Beginner course (Modules 1-10),no
Ode To Joy – Variation,https://fiddlehed.com/courses/art-of-fiddling/ode-to-joy-fiddle-variation-lesson/,Art of Fiddling,no
Off to California,https://fiddlehed.com/courses/irish-fiddle-lessons/off-to-california/,Irish course,no
Oh Christmas Tree,https://fiddlehed.com/holiday-songs/oh-christmas-tree/,Holiday songs,no
